| table_name                    | columns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| ----------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| accounting_documents          | ["id uuid","client_id uuid","name text","type text","category text","file_url text","file_size bigint","amount numeric","currency text","transaction_date date","status text","notes text","uploaded_at timestamp with time zone","reviewed_at timestamp with time zone","reviewed_by uuid","created_at timestamp with time zone","updated_at timestamp with time zone","user_id uuid"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| additional_services           | ["id uuid","name character varying","description text","base_price numeric","currency character varying","category character varying","is_active boolean","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| audit_logs                    | ["id uuid","user_id uuid","action_type character varying","table_name character varying","record_id uuid","description text","ip_address inet","user_agent text","metadata jsonb","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| banks                         | ["id uuid","name character varying","country_code character varying","price numeric","currency character varying","description text","requirements jsonb","is_active boolean","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| blog_posts                    | ["id uuid","author_id uuid","title_en character varying","title_tr character varying","title_es character varying","title_pt character varying","slug character varying","content_en text","content_tr text","content_es text","content_pt text","excerpt_en text","excerpt_tr text","excerpt_es text","excerpt_pt text","featured_image character varying","is_published boolean","published_at timestamp with time zone","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                 |
| clients                       | ["id uuid","user_id uuid","first_name character varying","last_name character varying","email character varying","phone character varying","company_name character varying","country_code character varying","preferred_language character varying","created_at timestamp with time zone","updated_at timestamp with time zone","profile_id uuid","assigned_consultant_id uuid","status character varying","priority character varying","notes text"]                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| commission_payout_items       | ["id uuid","payout_id uuid","purchase_id uuid","service_amount numeric","commission_amount numeric","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| commission_payouts            | ["id uuid","consultant_id uuid","period_start date","period_end date","total_amount numeric","commission_rate numeric","status character varying","processed_at timestamp with time zone","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| consultant_assignments        | ["id uuid","client_id uuid","consultant_id uuid","assigned_at timestamp with time zone","assigned_by uuid","is_active boolean","status character varying","notes text","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| consultant_countries          | ["id uuid","consultant_id uuid","country_code character varying","is_primary boolean","max_orders_per_month integer","current_month_orders integer","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| consultant_country_services   | ["id integer","consultant_id uuid","country_id integer","service_id integer","custom_price numeric","is_available boolean","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| consultant_spoken_languages   | ["id integer","consultant_id uuid","language_id integer","proficiency_level character varying","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| conversation_participants     | ["id uuid","order_id uuid","user_id uuid","joined_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| countries                     | ["id integer","code character varying","name_en character varying","name_tr character varying","name_es character varying","name_pt character varying","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| country_config_audit          | ["id uuid","country_config_id uuid","action character varying","changed_by uuid","changes jsonb","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| country_configurations        | ["id uuid","country_code character varying","country_name character varying","is_active boolean","currency character varying","language character varying","time_zone character varying","date_format character varying","minimum_capital numeric","minimum_directors integer","minimum_shareholders integer","requires_local_director boolean","requires_local_address boolean","allows_foreign_ownership boolean","processing_time character varying","popularity integer","description text","benefits ARRAY","requirements ARRAY","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                      |
| country_form_fields           | ["id uuid","section_id uuid","field_id character varying","field_type character varying","label character varying","placeholder character varying","is_required boolean","display_order integer","min_length integer","max_length integer","min_value numeric","max_value numeric","regex_pattern character varying","error_message character varying","options jsonb","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| country_form_sections         | ["id uuid","country_config_id uuid","section_id character varying","title character varying","description text","display_order integer","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| country_media                 | ["id integer","country_id integer","type character varying","title character varying","file_path character varying","alt_text character varying","display_order integer","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| country_packages              | ["id uuid","country_config_id uuid","package_id character varying","name character varying","price numeric","description text","delivery_time character varying","is_popular boolean","display_order integer","features ARRAY","legal_requirements ARRAY","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| country_pages                 | ["id integer","country_id integer","title_en character varying","title_tr character varying","title_es character varying","title_pt character varying","content_en text","content_tr text","content_es text","content_pt text","meta_description_en text","meta_description_tr text","meta_description_es text","meta_description_pt text","is_published boolean","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| country_services              | ["id uuid","country_config_id uuid","service_id character varying","name character varying","price numeric","description text","category character varying","delivery_time character varying","is_popular boolean","display_order integer","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| country_settings              | ["id integer","country_id integer","timezone character varying","currency character varying","tax_rate numeric","business_hours jsonb","contact_info jsonb","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| country_testimonials          | ["id integer","country_id integer","client_name character varying","client_company character varying","testimonial_en text","testimonial_tr text","testimonial_es text","testimonial_pt text","rating integer","is_featured boolean","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| documents                     | ["id uuid","client_id uuid","consultant_id uuid","document_type character varying","category character varying","name character varying","file_path character varying","file_size integer","mime_type character varying","status character varying","notes text","amount numeric","currency character varying","transaction_date date","uploaded_by uuid","uploaded_at timestamp with time zone","reviewed_at timestamp with time zone","reviewed_by uuid","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                 |
| faqs                          | ["id integer","category character varying","question_en text","question_tr text","question_es text","question_pt text","answer_en text","answer_tr text","answer_es text","answer_pt text","display_order integer","is_active boolean","created_at timestamp with time zone","updated_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| languages                     | ["id integer","code character varying","name character varying","native_name character varying","created_at timestamp with time zone"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
